From ,TP ,1 ,3 ,4 ,5 ,6 ,7 ,9 ,10 ,15 ,16 ,17 ,2 ,14 ,22 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Keylor NAVAS 1 ,"129'42"" ","",2 ,3 ,"",10 ,"",6 ,2 ,1 ,"","","","","",12 36 ,"",12 13 ,0 1 ,24 ,50 ,48%
Giancarlo GONZALEZ 3 ,"129'42"" ",3 ,"",8 ,5 ,6 ,1 ,2 ,4 ,1 ,1 ,2 ,"","","",7 13 ,"",22 25 ,4 4 ,33 ,42 ,79%
Michael UMANA 4 ,"129'42"" ",4 ,5 ,"",2 ,1 ,6 ,"",1 ,4 ,2 ,4 ,"","",1 ,4 4 ,"",22 25 ,4 7 ,30 ,36 ,83%
Celso BORGES 5 ,"129'42"" ","",3 ,3 ,"",8 ,2 ,3 ,5 ,7 ,2 ,2 ,"",1 ,3 ,1 2 ,"",30 32 ,8 8 ,39 ,42 ,93%
Oscar DUARTE 6 ,"67'55"" ",2 ,8 ,"",9 ,"","",2 ,3 ,1 ,6 ,4 ,"","","",3 6 ,"",21 23 ,11 13 ,35 ,42 ,83%
Christian BOLANOS 7 ,"85'00"" ","","",1 ,3 ,1 ,"",2 ,1 ,3 ,"","","","","",2 6 ,"",7 10 ,2 6 ,11 ,22 ,50%
Joel CAMPBELL 9 ,"129'42"" ","","","",2 ,"",3 ,"",8 ,"",4 ,1 ,1 ,4 ,1 ,2 4 ,"",13 20 ,9 12 ,24 ,36 ,67%
Bryan RUIZ 10 ,"129'42"" ","","","",1 ,3 ,1 ,11 ,"",5 ,8 ,3 ,"",2 ,"",3 3 ,"",18 25 ,13 16 ,34 ,44 ,77%
Junior DIAZ 15 ,"129'42"" ","",2 ,6 ,5 ,"",3 ,1 ,1 ,"","",6 ,"",1 ,"",2 5 ,"",17 23 ,6 12 ,25 ,40 ,62%
Cristian GAMBOA 16 ,"78'27"" ","",3 ,"",1 ,4 ,"",5 ,6 ,"","",5 ,"","","",0 3 ,"",15 22 ,9 15 ,24 ,40 ,60%
Yeltsin TEJEDA 17 ,"67'29"" ","",3 ,2 ,3 ,4 ,"",3 ,5 ,4 ,2 ,"","","","",2 3 ,"",19 23 ,5 5 ,26 ,31 ,84%
Johnny ACOSTA 2 ,"51'15"" ",1 ,2 ,"","","","",1 ,1 ,"","","","",2 ,1 ,0 4 ,"",8 11 ,0 1 ,8 ,16 ,50%
Randall BRENES 14 ,"44'42"" ","",2 ,"","","","",4 ,2 ,"","","",1 ,"",1 ,1 1 ,"",5 7 ,4 5 ,10 ,13 ,77%
Jose CUBERO 22 ,"62'13"" ","","",1 ,1 ,"","",3 ,1 ,"",1 ,"",3 ,1 ,"",1 2 ,"",7 8 ,3 3 ,11 ,13 ,85%
Total passes received ,"",10 ,30 ,24 ,32 ,37 ,16 ,43 ,40 ,26 ,26 ,27 ,5 ,11 ,7 ,40 92 ,"",216 267 ,78 108 ,334 ,467 ,72%
"","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"",Total,""
From ,TP ,1 ,2 ,4 ,7 ,10 ,14 ,15 ,16 ,19 ,20 ,22 ,9 ,17 ,21 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Orestis KARNEZIS 1 ,"129'42"" ","","",4 ,4 ,3 ,"",2 ,1 ,3 ,4 ,"","","","",8 11 ,"",9 9 ,4 4 ,21 ,24 ,88%
Ioannis MANIATIS 2 ,"79'16"" ",1 ,"",1 ,6 ,8 ,6 ,8 ,4 ,4 ,5 ,1 ,"","","",9 14 ,"",29 35 ,6 8 ,44 ,57 ,77%
Konstantinos MANOLAS 4 ,"129'42"" ","",5 ,"","",5 ,"",7 ,1 ,14 ,3 ,4 ,1 ,1 ,5 ,0 1 ,"",38 42 ,8 10 ,46 ,53 ,87%
Georgios SAMARAS 7 ,"129'42"" ","",4 ,2 ,"",7 ,"",2 ,3 ,1 ,10 ,3 ,1 ,"","",2 2 ,"",22 28 ,9 12 ,33 ,42 ,79%
Georgios KARAGOUNIS 10 ,"129'42"" ",2 ,4 ,8 ,9 ,"",2 ,6 ,5 ,10 ,11 ,8 ,"",1 ,9 ,17 21 ,"",44 48 ,14 14 ,75 ,83 ,90%
Dimitrios SALPINGIDIS 14 ,"70'17"" ","",3 ,1 ,1 ,3 ,"",2 ,"","","",1 ,"","","",0 1 ,"",5 7 ,6 8 ,11 ,16 ,69%
Vasileios TOROSIDIS 15 ,"129'42"" ","",6 ,7 ,2 ,2 ,5 ,"",6 ,"",1 ,4 ,3 ,2 ,3 ,7 13 ,"",22 33 ,12 14 ,41 ,60 ,68%
Lazaros CHRISTODOULOPOULOS 16 ,"129'42"" ","",4 ,"",1 ,3 ,"",2 ,"",3 ,8 ,6 ,1 ,1 ,6 ,2 4 ,"",22 26 ,11 15 ,35 ,45 ,78%
Sokratis PAPASTATHOPOULOS 19 ,"129'42"" ",2 ,8 ,4 ,5 ,12 ,1 ,3 ,5 ,"",15 ,2 ,"",1 ,3 ,10 12 ,"",44 51 ,7 9 ,61 ,72 ,85%
Jose CHOLEVAS 20 ,"129'42"" ","",5 ,2 ,9 ,13 ,1 ,"",14 ,4 ,"",3 ,1 ,1 ,9 ,3 9 ,"",38 45 ,21 28 ,62 ,82 ,76%
Andreas SAMARIS 22 ,"59'18"" ","",4 ,3 ,3 ,3 ,1 ,4 ,2 ,4 ,4 ,"","","","",4 6 ,"",18 22 ,6 6 ,28 ,34 ,82%
Konstantinos MITROGLOU 9 ,"70'24"" ","","","",2 ,"","","",1 ,"",1 ,"","",2 ,"",1 1 ,"",2 2 ,3 5 ,6 ,8 ,75%
Theofanis GEKAS 17 ,"59'25"" ","","",1 ,1 ,1 ,"","","","","","",1 ,"","",0 1 ,"",2 5 ,2 2 ,4 ,8 ,50%
Konstantinos KATSOURANIS 21 ,"50'27"" ","","",2 ,7 ,11 ,"",4 ,3 ,2 ,5 ,"",1 ,"","",10 12 ,"",21 24 ,4 4 ,35 ,40 ,88%
Total passes received ,"",5 ,43 ,35 ,50 ,71 ,16 ,40 ,45 ,45 ,67 ,32 ,9 ,9 ,35 ,73 108 ,"",316 377 ,113 139 ,502 ,624 ,80%
