From ,TP ,"",1 ,4 ,7 ,8 ,13 ,16 ,17 ,18 ,19 ,20 ,21 ,6 ,9 ,23 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Manuel NEUER 1 ,"128'21"" ","","",4 ,2 ,1 ,2 ,1 ,10 ,2 ,1 ,14 ,"",2 ,3 ,"",11 19 ,28 31 ,3 3 ,42 ,53 ,79%
Benedikt HOEWEDES 4 ,"128'21"" ","",3 ,"",9 ,9 ,8 ,2 ,1 ,7 ,3 ,11 ,"","","",1 ,1 4 ,31 39 ,22 24 ,54 ,67 ,81%
Bastian SCHWEINSTEIGER 7 ,"114'47"" ","","",8 ,"",16 ,8 ,16 ,7 ,12 ,7 ,13 ,3 ,4 ,4 ,"",4 5 ,63 69 ,31 34 ,98 ,108 ,91%
Mesut OEZIL 8 ,"128'21"" ","","",2 ,9 ,"",13 ,6 ,3 ,7 ,3 ,7 ,3 ,3 ,3 ,1 ,1 4 ,43 52 ,16 22 ,60 ,78 ,77%
Thomas MUELLER 13 ,"128'21"" ","","",2 ,3 ,7 ,"",2 ,"",7 ,2 ,1 ,1 ,2 ,6 ,3 ,0 1 ,27 37 ,9 16 ,36 ,54 ,67%
Philipp LAHM 16 ,"128'21"" ","",1 ,4 ,16 ,3 ,4 ,"",18 ,18 ,1 ,11 ,4 ,3 ,6 ,1 ,3 5 ,67 76 ,20 26 ,90 ,107 ,84%
Per MERTESACKER 17 ,"128'21"" ","",6 ,3 ,14 ,7 ,3 ,20 ,"",15 ,2 ,9 ,4 ,8 ,4 ,"",3 5 ,74 80 ,18 19 ,95 ,104 ,91%
Toni KROOS 18 ,"128'21"" ","",3 ,5 ,17 ,18 ,8 ,15 ,6 ,"",2 ,11 ,4 ,3 ,2 ,"",10 18 ,65 79 ,19 21 ,94 ,118 ,80%
Mario GOETZE 19 ,"46'04"" ","",1 ,4 ,4 ,2 ,1 ,"",2 ,4 ,"",2 ,"","","","",1 1 ,10 13 ,9 14 ,20 ,28 ,71%
Jerome BOATENG 20 ,"128'21"" ","",8 ,7 ,16 ,9 ,2 ,12 ,14 ,15 ,3 ,"",2 ,3 ,2 ,"",6 12 ,74 82 ,13 13 ,93 ,107 ,87%
Shkodran MUSTAFI 21 ,"70'17"" ","",3 ,"",4 ,2 ,1 ,"",9 ,2 ,"",1 ,"","",2 ,"",3 6 ,19 24 ,2 3 ,24 ,33 ,73%
Sami KHEDIRA 6 ,"58'04"" ","",1 ,2 ,1 ,3 ,5 ,7 ,2 ,7 ,"",4 ,"","",3 ,1 ,5 5 ,25 28 ,6 6 ,36 ,39 ,92%
Andre SCHUERRLE 9 ,"82'17"" ","","","",4 ,2 ,2 ,3 ,2 ,1 ,"","",1 ,2 ,"",1 ,1 3 ,8 16 ,9 15 ,18 ,34 ,53%
Christoph KRAMER 23 ,"13'34"" ","","","","","",1 ,3 ,"","","",1 ,"",2 ,1 ,"",0 0 ,5 5 ,3 5 ,8 ,10 ,80%
Total passes received ,"","",26 ,41 ,99 ,79 ,58 ,87 ,74 ,97 ,24 ,85 ,22 ,32 ,36 ,8 ,49 88 ,539 631 ,180 221 ,768 ,940 ,82%
"","","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,"",23 ,3 ,4 ,5 ,8 ,10 ,13 ,15 ,19 ,20 ,22 ,2 ,11 ,18 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Rais MBOLHI 23 ,"128'21"" ","","",5 ,2 ,"","",1 ,7 ,1 ,"","","",1 ,"","",12 37 ,4 4 ,1 1 ,17 ,42 ,40%
Faouzi GHOULAM 3 ,"128'21"" ","",6 ,"",3 ,1 ,11 ,1 ,6 ,8 ,3 ,"",1 ,4 ,6 ,2 ,3 10 ,30 36 ,19 23 ,52 ,69 ,75%
Esseid BELKALEM 4 ,"128'21"" ","",6 ,2 ,"",1 ,2 ,1 ,1 ,1 ,"",5 ,1 ,2 ,2 ,2 ,5 12 ,18 24 ,3 5 ,26 ,41 ,63%
Rafik HALLICHE 5 ,"102'00"" ","",2 ,5 ,5 ,"",5 ,"",1 ,4 ,"",1 ,1 ,"","","",2 3 ,18 21 ,4 4 ,24 ,28 ,86%
Medhi LACEN 8 ,"128'21"" ","","",11 ,2 ,6 ,"","",5 ,2 ,5 ,"",2 ,2 ,3 ,1 ,2 4 ,24 33 ,13 13 ,39 ,50 ,78%
Sofiane FEGHOULI 10 ,"128'21"" ","","","",2 ,1 ,2 ,"",2 ,1 ,2 ,1 ,4 ,"",4 ,"",2 7 ,7 21 ,10 13 ,19 ,41 ,46%
Islam SLIMANI 13 ,"128'21"" ","","",1 ,"","","",9 ,"",3 ,3 ,2 ,2 ,"",4 ,1 ,0 0 ,11 17 ,14 23 ,25 ,40 ,62%
El Arabi SOUDANI 15 ,"104'18"" ","","",5 ,"","",1 ,"",2 ,"",5 ,"",2 ,"","","",1 3 ,6 13 ,8 11 ,15 ,27 ,56%
Saphir TAIDER 19 ,"78'27"" ","","",1 ,1 ,2 ,3 ,4 ,3 ,"","","",4 ,"","","",1 5 ,11 11 ,6 9 ,18 ,25 ,72%
Aissa MANDI 20 ,"128'21"" ","",2 ,1 ,3 ,"",2 ,8 ,7 ,"",1 ,"",5 ,"",3 ,"",1 5 ,19 29 ,12 12 ,32 ,46 ,70%
Mehdi MOSTEFA 22 ,"128'21"" ","","",3 ,4 ,2 ,2 ,4 ,3 ,1 ,1 ,6 ,"","",1 ,"",4 9 ,14 18 ,9 13 ,27 ,40 ,68%
Madjid BOUGUERRA 2 ,"26'21"" ","","",8 ,"","",5 ,"","","","",1 ,1 ,"","",2 ,0 0 ,9 10 ,8 8 ,17 ,18 ,94%
Yacine BRAHIMI 11 ,"49'54"" ","","",1 ,1 ,"",2 ,2 ,2 ,"","",1 ,2 ,3 ,"",4 ,2 4 ,14 16 ,2 5 ,18 ,25 ,72%
Abdelmoumene DJABOU 18 ,"24'02"" ","","",2 ,"","","","",1 ,"","","","",1 ,2 ,"",0 0 ,4 8 ,2 4 ,6 ,12 ,50%
Total passes received ,"","",16 ,45 ,23 ,13 ,35 ,30 ,40 ,21 ,20 ,17 ,25 ,13 ,25 ,12 ,35 99 ,189 261 ,111 144 ,335 ,504 ,66%
